Extreme price: 0.0000000000029999116284373204 (sqrt: 137225181686418574955600, raw: 0.0000000000029999116284373204, adjustment: 1)
Extreme price: 0.000000000023576553599622517 (sqrt: 12165213747182068052365652641, raw: 0.023576553599622515, adjustment: 0.000000001)
Extreme price: 0.000000000024161428095602182 (sqrt: 12315183402139205058394432783, raw: 0.02416142809560218, adjustment: 0.000000001)
Extreme price: 0.00000000002421098694261746 (sqrt: 12327807110468930395602242559, raw: 0.02421098694261746, adjustment: 0.000000001)
Extreme price: 0.00000000005536829342104195 (sqrt: 589535758642867584277381, raw: 0.00000000005536829342104195, adjustment: 1)
Extreme price: 0.000000000021443850775811842 (sqrt: 366885858160574959728194, raw: 0.000000000021443850775811842, adjustment: 1)
Extreme price: 0.000000000024240133683449743 (sqrt: 12335225381418351338384065288, raw: 0.024240133683449742, adjustment: 0.000000001)
Extreme price: 0.000000000024294103222338867 (sqrt: 12348949651553627775845430592, raw: 0.024294103222338864, adjustment: 0.000000001)
Extreme price: 0.0000000000000000009447883510911876 (sqrt: 77009951293372559844, raw: 0.0000000000000000009447883510911876, adjustment: 1)
Extreme price: 0.00000000002429820114700382 (sqrt: 12349991116864509625487918872, raw: 0.024298201147003817, adjustment: 0.000000001)
Extreme price: 0.000000000024300029257578992 (sqrt: 12350455692916604591551944845, raw: 0.02430002925757899, adjustment: 0.000000001)
Extreme price: 0.000000000010695767131801697 (sqrt: 8193803660347509507376159729, raw: 0.010695767131801696, adjustment: 0.000000001)
Extreme price: 0.000000000024302600586001323 (sqrt: 12351109112658598722804694395, raw: 0.02430260058600132, adjustment: 0.000000001)
Extreme price: 971937122984.5183 (sqrt: 78108566760457568521698915659736932, raw: 971937122984.5183, adjustment: 1)
Extreme price: 0.000000000024302605186542554 (sqrt: 12351110281705997721403199926, raw: 0.024302605186542554, adjustment: 0.000000001)
Extreme price: 0.0000000000217069462258943 (sqrt: 11672904943693598690555015827, raw: 0.0217069462258943, adjustment: 0.000000001)
Extreme price: 0.0000000000000000010469216560892564 (sqrt: 81065613821470381647, raw: 0.0000000000000000010469216560892564, adjustment: 1)
Extreme price: 0.0000000000000000010468991500066055 (sqrt: 81064742467248389527, raw: 0.0000000000000000010468991500066055, adjustment: 1)
Extreme price: 0.000000000014428754180393568 (sqrt: 9516867021515867011602945058, raw: 0.014428754180393567, adjustment: 0.000000001)
Extreme price: 0.0000000000000000010468766446496797 (sqrt: 81063871131758137867, raw: 0.0000000000000000010468766446496797, adjustment: 1)
Extreme price: 0.000000000008723248841726457 (sqrt: 234001539402224855524384, raw: 0.000000000008723248841726457, adjustment: 1)
Extreme price: 0.000000000021788499230657908 (sqrt: 11694811940866519079398588698, raw: 0.021788499230657905, adjustment: 0.000000001)
Extreme price: 0.000000000022043993327213383 (sqrt: 11763179364827501246777734158, raw: 0.022043993327213383, adjustment: 0.000000001)
Extreme price: 0.000000000022085545798669 (sqrt: 11774260820101922468555516319, raw: 0.022085545798669, adjustment: 0.000000001)
Extreme price: 0.000000000015087975089671697 (sqrt: 9731842303431001212538633707, raw: 0.015087975089671695, adjustment: 0.000000001)
Extreme price: 0.000000000014817933161757275 (sqrt: 9644359696968505195220317195, raw: 0.014817933161757274, adjustment: 0.000000001)
Extreme price: 15426458059.60622 (sqrt: 9840398704159504730843934548013618, raw: 15426458059.60622, adjustment: 1)
Extreme price: 0.0000000000000000010447782159588709 (sqrt: 80982585489039743918, raw: 0.0000000000000000010447782159588709, adjustment: 1)
Extreme price: 0.000000000013401088646208652 (sqrt: 9171695415635381294394308639, raw: 0.013401088646208651, adjustment: 0.000000001)
Extreme price: 113588854639.71317 (sqrt: 26702224562375491702711110059199108, raw: 113588854639.71317, adjustment: 1)
Extreme price: 111022821391.15633 (sqrt: 26398892871140503060391668275858902, raw: 111022821391.15633, adjustment: 1)
Extreme price: 0.000000000006096299739751832 (sqrt: 195619768111082238855687, raw: 0.000000000006096299739751832, adjustment: 1)
Extreme price: 0.0000000000020834296725636626 (sqrt: 114358646429579037733740, raw: 0.0000000000020834296725636626, adjustment: 1)
